Country,Inflation
Afghanistan,1.56
Albania,5.7
Algeria,9.6
Angola,27
Argentina,55.1
Armenia,7.4
Aruba,3.5
Australia,3.5
Austria,6.8
Azerbaijan,12.2
Bahamas,3.8
Bahrain,3.2
Bangladesh,6.22
Barbados,5
Belarus,15.9
Belgium,8.31
Belize,4.5
Benin,2
Bermuda,2.5
Bhutan,5.32
Bolivia,0.77
Bosnia and Herzegovina,8.1
Botswana,10
Brazil,11.3
Brunei,2.2
Bulgaria,12.4
Burkina Faso,10.1
Burundi,13.32
Cambodia,3.7
Cameroon,2.37
Canada,6.7
Cape Verde,7.6
Cayman Islands,7.6
Central African Republic,4.78
Chad,1
Chile,9.4
China,1.5
Colombia,8.53
Comoros,3.59
Congo,3.99
Costa Rica,5.79
Croatia,7.3
Cuba,23.3
Cyprus,7.1
Czech Republic,12.7
Denmark,5.4
Djibouti,2.72
Dominican Republic,9.1
East Timor,6
Ecuador,2.64
Egypt,10.5
El Salvador,6.69
Equatorial Guinea,2.9
Eritrea,2.6
Estonia,15.2
Ethiopia,34.7
Euro Area,7.4
Faroe Islands,4.4
Fiji,4.7
Finland,5.8
France,4.5
Gabon,2.9
Gambia,8.2
Georgia,11.8
Germany,7.3
Ghana,19.4
Greece,8.9
Guatemala,4.17
Guinea,12.27
Guinea Bissau,6.5
Guyana,5.73
Haiti,23.95
Honduras,6.96
Hong Kong,1.7
Hungary,8.5
Iceland,6.7
India,6.95
Indonesia,2.64
Iran,34.7
Iraq,5.1
Ireland,6.7
Israel,3.5
Italy,6.5
Ivory Coast,4.5
Jamaica,10.7
Japan,1.2
Jordan,2.5
Kazakhstan,12
Kenya,5.56
Kosovo,10
Kuwait,4.37
Kyrgyzstan,13.2
Laos,8.54
Latvia,11.5
Lebanon,208
Lesotho,7.5
Liberia,5.44
Libya,3.9
Liechtenstein,1.5
Lithuania,15.7
Luxembourg,6.1
Macau,1.07
Macedonia,8.8
Madagascar,6.34
Malawi,13
Malaysia,2.2
Maldives,0.56
Mali,4.5
Malta,4.5
Mauritania,6.1
Mauritius,10.7
Mexico,7.45
Moldova,22.2
Mongolia,14.4
Montenegro,9.7
Morocco,3.6
Mozambique,6.67
Myanmar,7.28
Namibia,4.5
Nepal,7.14
Netherlands,9.7
New Caledonia,1.2
New Zealand,6.9
Nicaragua,7.68
Niger,4.89
Nigeria,15.92
Norway,4.5
Oman,3.6
Pakistan,12.7
Palestine,3.62
Panama,3.18
Papua New Guinea,5.7
Paraguay,10.1
Peru,6.83
Philippines,4
Poland,11
Portugal,5.3
Puerto Rico,4.4
Qatar,4.42
Romania,10.15
Russia,16.7
Rwanda,5.6
Sao Tome and Principe,12.1
Saudi Arabia,2
Senegal,6.2
Serbia,9.1
Seychelles,2.22
Sierra Leone,17.94
Singapore,4.3
Slovakia,10.4
Slovenia,5.4
Somalia,6.1
South Africa,5.9
South Korea,4.1
South Sudan,-8.52
Spain,9.8
Sri Lanka,18.7
Sudan,260
Suriname,61.5
Swaziland,3.5
Sweden,6
Switzerland,2.4
Syria,139
Taiwan,3.27
Tajikistan,7.8
Tanzania,3.6
Thailand,5.73
Togo,8.5
Trinidad and Tobago,3.8
Tunisia,7.2
Turkey,61.14
Turkmenistan,12.45
Uganda,3.7
Ukraine,13.7
United Arab Emirates,2.5
United Kingdom,7
United States,8.5
Uruguay,9.38
Uzbekistan,10.5
Vanuatu,0.9
Venezuela,284
Vietnam,2.41
Zambia,13.1
Zimbabwe,72.7